title,url,ingredients,steps,uuid,categoria
Tequeños venezolanos,https://www.recetasgratis.net/receta-de-tequenos-venezolanos-62491.html,"300 gramos de Harina todo uso
30 gramos de Huevo
50 gramos de Margarina
110 mililitros de Agua
15 gramos de Azúcar
5 gramos de Sal
0,
1 gramo de Levadura instantánea Queso duro salado","1 Para hacer la masa para tequeños fritos, deberás mezclar todos los ingredientes de la lista, menos el queso, y empezar amasar. Ve espolvoreando harina sobre la mesa cada vez que lo consideres necesario para que la masa no se pegue a esta. 
2 Una vez integrados y amasados todos los ingredientes, dejamos reposar la masa por 40 minutos. Pasado este tiempo, volvemos a amasar con ayuda de un rodillo, haciendo pliegues sobre si misma, hasta conseguir una lámina de un 1 mm de ancho.Si tienes dudas sobre la preparación de esta masa puedes revisar la receta de masa para tequeños con fotos en el paso a paso. De todas formas y aunque esta es la masa original de los tequeños venezolanos, los tequeños también se puede hacer con masa de hojaldre. 
3 Ahora que ya tenemos la masa lista, podemos armar los tequeños de queso. Para ello, corta el queso en bastones y corta tiras con la masa.El procedimiento correcto para envolver el queso es enrollar la masa alrededor, primero a lo largo y luego por los lados, de esta forma sellamos bien el queso para que no suelte líquidos durante la cocción. 
4 A la hora de freír los tequeños el aceite debe estar bien caliente, durante la cocción puedes ir bajando la llama un poco para controla la temperatura y dejar que los tequeños se doren de forma pareja y que el queso en su interior se derrita un poco. Al sacarlos, colócalos sobre un plato con servilletas absorbentes para eliminar el exceso de aceite. 
5 Los tequeños venezolanos se comen recién hechos y se pueden acompañar con cualquier tipo de salsas, desde una simple mayonesa casera o una salsa rosa, hasta una salsa agridulce. ¡A disfrutar!",597995dd-bb23-46b7-ac2f-75f836ede609,comida
Tequeños de yuca,https://www.recetasgratis.net/receta-de-tequenos-de-yuca-56885.html,"300 gramos de Yuca cocinada
1 cucharadita de Sal
1 cucharadita de Polvo de hornear
1 cucharadita de Azúcar
2 tazas de Harina de trigo (280 gramos)
1 unidad de Huevo
1 cucharadita de Mantequilla
200 gramos de Queso salado","1 El primer paso para realizar nuestra receta de tequeños de yuca es prealistar los ingredientes. 
2 Primero vamos a hacer la masa de yuca, entonces debes cernir o tamizar la harina en un bol, esto quiere decir pasarla por un colador para que esta quede más fina, agrega el polvo de hornear y reserva. 
3 Lleva una taza de agua a una olla honda y agrega la mantequilla, derrite bien estos ingredientes hasta que se integren. 
4 En el bol donde tenemos la harina agrega el huevo y bate estos ingredientes hasta formar una masa. 
5 Adiciona el puré de yuca y mezcla muy bien todos los ingredientes. 
6 Adiciona 40 gramos del queso salado rallado y mezcla bien con la masa de los tequeños de yuca. 
7 Agrega el azúcar e integra bien, deja reposar nuestra masa durante 20 minutos aproximadamente. 
8 Una vez repose nuestra masa estará lista para trabajar los tequeños de yuca. 
9 Estira la masa de los tequeños de yuca lo más delgada posible. 
10 Corta tiras de 2 cm de ancho. 
11 Corta el queso salado en cuadros pequeños y envuelve en la masa de yuca como se observa en la fotografía lo ideal es que el queso quede bien envuelto en la masa. 
12 Lleva una sartén a fuego medio con suficiente aceite para freír, una vez este caliente el aceite adiciona nuestros tequeños de yuca, debes freír por lado y lado. 
13 Una vez estén dorados retira los tequeños caseros en un plato con papel absorbente para retirar el exceso de grasa. 
14 Sirve nuestros tequeños de yuca bien calientes lo ideal es consumirlos puedes acompañarlos con cualquier salsa o suero costeño. Si deseas más recetas de aperitivos y tienes algún comentario o inquietud, escríbenos. ¡Disfruta!",3694952e-fb06-4414-9698-5fad5f6fbfbb,comida
Tequeños sin gluten,https://www.recetasgratis.net/receta-de-tequenos-sin-gluten-56841.html,"500 gramos de Harina sin gluten
1 cucharadita de Mantequilla
250 mililitros de Agua
1 litro de Aceite
1 unidad de Huevo
200 gramos de Queso salado
1 cucharadita de Sal","1 Antes de realizar esta receta, el primer paso es alistar todos los ingredientes. Si no consigues harina sin gluten puedes usar harina de arroz con un poco de polvo de hornear. 
2 Para hacer la masa, mezclar la harina con la sal y hacer un hueco en el centro. Agrega el agua tibia, el huevo y la mantequilla derretida, mezclar muy bien todo hasta obtener una masa suave y elástica. 
3 En una superficie con harina, estirar la masa sin gluten hasta que este delgada y cortar tiras de 2 cm de ancho. 
4 Cortar tiras de queso para enrollar con las cintas de masa hasta que estén muy compactas. 
5 Freír los tequeños en abundante aceite, a temperatura media, durante 5 minutos hasta que estén dorados, escurrir y reservar. 
6 Finalmente servir y disfrutar los tequeños sin gluten rellenos de queso, ideales para servir como pasabocas en reuniones familiares. Con esta misma masa puedes hacer tequeños de dulces guayaba y queso. Si te ha gustado esta receta, tienes algún comentario o inquietud, danos tu opinión.",9e253a30-9c41-43d8-a5ba-6b72f690c0bd,comida
Tequeños de queso y guayaba,https://www.recetasgratis.net/receta-de-tequenos-de-queso-y-guayaba-56832.html,"500 gramos de Harina de trigo
1 cucharadita de Mantequilla
2 cucharaditas de Sal
1 litro de Aceite
250 mililitros de Agua
200 gramos de Queso salado
200 gramos de Guayaba
1 unidad de Huevo","1 Antes de realizar esta receta, el primer paso es alistar todos los ingredientes. Utiliza guayaba confitada o lo que se conoce como bocadillo que es una pasta hecha a base de la fruta, muy parecida al membrillo. 
2 Para hacer la masa, mezcla la harina con la sal, haz un hueco en el centro y agrega el agua tibia, el huevo y la mantequilla derretida. Mezcla muy bien todo hasta obtener una masa suave y elástica. 
3 En un superficie con harina, estirar la masa hasta que este delgada y cortar tiras de 2 cm de ancho. 
4 Cortar tiras pequeñas de queso y guayaba para enrollarlas con las cintas de masa hasta que estén muy compactas. Recuerda usar un queso fresco salado, puede ser queso blanco duro o alguno parecido al feta. 
5 Freír los tequeños a temperatura media durante 5 minutos hasta que la masa esté dorada, escurrir y reservar. 
6 Finalmente servir los tequeños de queso y guayaba como aperitivo en la próxima reunión familiar y acompáñalos con otros entrantes clásicos como las bolitas de carne o las arepitas fritas. Si te ha gustado esta receta, tienes algún comentario o inquietud, danos tu opinión.",88cd5753-b2f5-4254-897b-2d2aca5add51,comida
Tequeños horneados,https://www.recetasgratis.net/receta-de-tequenos-horneados-53111.html,"500 gramos de Harina de trigo
250 gramos de Mantequilla sin sal
2 Huevos
½ cucharadita de Sal Agua Queso semi duro blanco","1 Los tequeños se pueden hacer fritos pero como queremos restar un poco de calorías a estos palitos de queso, los haremos al horno. Entonces, precalienta el horno a 250ºC. 
2 Caliente un poco de agua por un lado y por otro, derrite la mantequilla y agrega la sal, reserva. 
3 Forma un volcán o corona con la harina tamizada y añade en el medio la mantequilla derretida con la sal y el huevo. Mezcla bien comenzando desde los bordes y ve agregando el agua tibia progresivamente según se requiera. Amasa a mano para formar una masa suave y elástica. Truco: El huevo es opcional, aunque hace que la masa quede menos seca y más manejable. También ayuda a darle un color bonito al tequeño. 
4 Después de amasar por unos de 5 a 8 minutos, deja reposar la preparación en un bol ligeramente enharinado por unos 30 minutos. 
5 Mientras, corta el queso en bastones de 2 x 2 centímetros y 6 centímetros de largo y reserva en la nevera. Es importante conservar el queso frío para evitar que se humedezca con el calor.Para hacer tequeños se utiliza queso fresco salado de consistencia dura o semi. 
6 Divide la masa en 2 y extiende con ayuda de un rodillo sobre una superficie plana, previamente enharinada. La lámina de masa debe tener un grosor de 1 ½ a 2 milímetros. Es importante frotar el rodillo con harina antes de comenzar a trabajar para evitar que este se pegue a la masa. 
7 Una vez estirada la masa, corta tiras uniformes de 2 a 3 centímetros y forra con ellas los bastones de queso. La idea es colocar la tira en un extremo del trozo de queso y comenzar a envolver desde la punta hasta arriba y dar la vuelta para terminar en el mismo punto de inicio. 
8 Al momento de enrollar los bastones se debe tener especial cuidado en ir estirando la masa a medida que se enrolla y con un poco de harina en una mano, comprime el tequeño y las puntas, para asegurar que quede bien fija la masa. Truco: Si los bordes de la tira de masa se resecan al momento de estirar y enrollar, quiere decir que esta muy seca y se debe proceder a amasar nuevamente agregándole un poco más de agua. 
9 Llevar al horno y cocinar durante unos 10-15 minutos o hasta que veamos que la masa comienza a dorarse. Retirar, esperar unos segundo y disfrutar de los tequeños horneados. Y si quieres recetas paso a paso con fotos, visita cualquiera de estas:Tequeños de queso venezolanosTequeños de yucaTequeños de chocolate 10 Los tequeños se pueden congelar para cocinarlos más adelante, si este es el caso se debe colocar en un recipiente una cama de tequeños, luego papel encerado y así sucesivamente. Para cocinarlos dejar fuera de la nevera unos 10 minutos.",72848605-ee4c-4f0c-92a1-74dafb2a8983,comida
Tequeños con queso rellenos,https://www.recetasgratis.net/receta-de-tequenos-con-queso-rellenos-45524.html,"1 cuña de Queso blanco duro
1 paquete de Masa Wantan
1 vaso de Agua","1 1) Cortar el queso y colocar sobre la masa y sellar con un poquito de agua en los bordes de la masa y ambos lados sellar con el tenedor. 
2 2) Calentar bien el aceite y colocar los tequeños, freir rapidamente sin quemar , retirar y colocar en papel absorbente",25fc2a54-3f96-44df-b6a3-bbbd0ff3c3bb,comida
Tequeños de batata,https://www.recetasgratis.net/receta-de-tequenos-de-batata-61111.html,"2 Batatas grandes
1½ tazas de Maicena (187½ gramos)
1 Huevo
1 pizca de Sal
300 gramos de Queso blanco","1 Vierte dentro de un cazo agua suficiente para cubrir las batatas y cocerlas para nuestra receta de tequeños caseros. 
2 Utiliza un colador y escurre bien los tubérculos. Retira las conchas debajo del grifo, así será más fácil. 
3 Tritura muy bien las batatas hasta crear un puré con ayuda de un pasapuré o manualmente. 
4 Usa el puré para crear una masa para tequeños caseros. Realiza un hoyo en el centro del puré y vierte dentro el huevo y la harina de maicena. Amasa hasta crear una masa homogénea. Truco: La masa no debe pegarse, ni agrietarse. 
5 Crea una bola grande y a partir de ella crea varias bolas pequeñas para formar los tequeños de batata. 
6 Utiliza una bolsa limpia y pícala a la mitad. Colócala sobre la superficie de la mesa de trabajo. Espolvorea un poco de maicena, así podrás estirar la masa para tequeños caseros con más facilidad. Forma una especie de trenza. 
7 Aplasta la trenza con una botella, un rodillo o con tus propias manos. Pica con cuchillo un rectángulo. Recoge la masa restante y reserva, luego la unirás con el resto que falta por amasar. Coloca una porción de queso sobre uno de los extremos del rectángulo de masa pero deja suficiente espacio entre el borde y el queso. 
8 Enrolla el tequeños de batata con cuidado y modela los extremos con tus dedos. No dejes hoyos. La masa es muy suave y moldeable así que permitirá que la modeles como una plastilina. Si dejas hoyos, se escapará el queso durante la cocción. 
9 Coloca una sartén con aceite a fuego medio. Cuando el aceite alcance una temperatura alta, pon los tequeños de batata. Deja que se cocinen de 3-5 minutos por cada lado. 
10 ¡Pongan la música!...que aquí traigo los tequeños de batata. Sí lo deseas puedes acompañarlos de algún dip que combine con el sabor del queso, aunque el tequeño original se come solo.Prueba otras versiones de tequeños venezolanos con las siguientes recetas que te recomiendo:Tequeños de yucaTequeños de plátano con quesoTequeños de chocolate 11 ¿Qué te parecen estos tequeños caseros? Arma la fiesta en tu cocina y comparte tú experiencia. Tus comentarios y una foto de tu creación son muy valorados por nosotros.",b836dda4-b2b6-445f-b032-0dd461c365e3,comida
Tequeños de plátano con queso,https://www.recetasgratis.net/receta-de-tequenos-de-platano-con-queso-61027.html,"3 Plátanos maduros
1 Huevo
1 taza de Maicena (125 gramos)
300 gramos de Queso duro","1 Empezamos por cocinar los plátanos. Para ello, coloca un cazo con agua suficiente para cubrir todos los plátanos, previamente troceados, tal como se ven en la foto, sin retirar la piel. Lleva al fuego y deja que hierva hasta que estén tiernos.Los plátanos estarán listos cuando les puedas pinchar con un tenedor con facilidad. Es importante que no se cocinen demasiado pues la masa quedaría muy blanda y sin forma. Tampoco pueden quedar crudos, pues la masa quizás se quebraría. La consistencia de la masa debe ser homogénea para lograr unos buenos tequeños caseros. 
2 A continuación, escurre muy bien los plátanos, usando un colador. Deja reposar un rato pero sin permitir que enfríen por completo, sino será más complicado hacer el puré. 
3 Pisa los plátanos con un pisa puré o un tenedor hasta formar un puré lo más homogéneo posible. 
4 Agrega el huevo y amasa el puré hasta que logres obtener una masa de textura homogénea. Realiza una bola con ella y reserva. 
5 Prepara tu mesa de trabajo con todos los ingredientes y utensilios necesarios para realizar los tequeños de plátano. Dispón en recipientes las medidas necesarias de todos los productos y corta el queso en pequeños rectángulos delgados. 
6 Limpia muy bien la mesa donde amasaras. Espolvorea maicena sobre la superficie y divide la bola de masa en otras dos más pequeñas. 
7 Amasa como una plastilina, una de las bolas. Realiza una trenza y utiliza una botella o las manos para aplanarla. 
8 Coloca al principio de la masa aplanada un bloque de queso y enróllalo dentro.Recuerda los rectángulos de queso deben ser delgados para que el tamaño del tequeño sea adecuado.De cada trenza salen tres tequeños sin gluten. La masa restante la unes a la otra bola. 
9 Antes de cerrar los tequeños de plátano, para que se vean más agradable a la vista, corta una forma redondeada con el cuchillo, como una solapa y listo.Si deseas que seas más crujiente, puedes pasarlo por huevo y maicena, antes de freír. En esta receta preferí simplemente freírlo, tal cual. 
10 Precalienta una sartén con aceite y pon a freír los tequeños de plátano hasta que estén dorados. Recuerda el plátano se cocina muy rápido y además ya está cocido previamente. 
11 ¡Mmmm! El sabor de los tequeños de plátano con queso es increíble.¿Quién no se luce con un aperitivo así? Fiestas infantiles, reuniones entre amigos, agasajos, tardes de ocio frente a la televisión y otras. Cualquier excusa será buena para degustar estos tequeños caseros. Si quieres comerlos seguido, hornéalos en vez de freírlos. ¡Saludables y deliciosos!",9adfecd4-94a1-4395-a157-beaa2dc21c92,comida
Tequeños de lomo saltado,https://www.recetasgratis.net/receta-de-tequenos-de-lomo-saltado-75616.html,"250 gramos de lomo de res
1 cebolla morada mediana
1 aji amarillo fresco
1 tomate mediano
1 pizca de pimienta molida
1 cucharada postre de ajo molido
2 chorros de sillao claro
1 pizca de sal
1 huevo
1 paquete de pasta de wantán
½ litro de aceite vegetal
1 rama de perejil
200 gramos de queso edam","1 Para empezar la receta de tequeños de lomo saltado, primero es importante cortar todas las verduras y la carne en trocitos pequeños, de igual manera debes hacerlo con la cebolla morada. En el caso del ají amarillo, retira las venas y las semillas utilizando un cuchillo, córtalo en cuadrados pequeños del mismo tamaño que la cebolla. El perejil debe estar cortado finamente y el tomate en cuadrados pequeños también, no olvides retirar las semillas. 
2 En un sartén mediana, agrega un chorro de aceite vegetal a fuego alto y cuando empiece a humear, incorpora la carne de res y mueve para lograr que se selle. 
3 Agrega el chorrito de sillao claro, pimienta y ajo molido. Sigue moviendo el lomo con ayuda de una cuchara o con el sartén. Cuando toda la carne se encuentre dorada retirarla y colocarla en un recipiente. 
4 En la misma sartén, agrega un chorrito de sillao claro y añade la cebolla morada en cuadrados. Saltea aproximadamente 2 minutos. 
5 Añade el ají amarillo y el tomate. 
6 Pasados 5 minutos, agrega la carne y apaga el fuego. 
7 Finalmente, añade el perejil cortado finamente y mezcla los ingredientes. Prueba el sabor y agrega sal si lo necesita. 
8 Bate un huevo y agrega una pizca de sal. En una lámina de wantán, coloca un trozo de queso y encima una cucharada de lomo saltado. Seguido, pinta los bordes de la masa con huevo. ¿Qué te está pareciendo esta receta de tequeños con lomo saltado? 9 Cierra con cuidado y sella los bordes con la ayuda de un tenedor. ¡Ya casi está la receta de tequeños rellenos de lomo saltado! 10 En una olla mediana, calienta el aceite vegetal a fuego medio y añade los tequeños. Retíralos cuando se encuentren dorados y colócalos en una rejilla de metal. 
11 Disfruta de estos tequeños de lomo salteado y cuéntanos en los comentarios qué te ha parecido esta receta.",f676390a-bd4e-493b-855c-d77d8676a821,comida
Tequeños de queso venezolanos,https://www.recetasgratis.net/receta-de-tequenos-de-queso-venezolanos-9412.html,"500 gramos de Masa para tequeños
500 gramos de Queso para gratinar
1 pizca de Harina Aceite para freír","1 El primer paso para elaborar los tequeños venezolanos de queso será espolvorear en una superficie lisa y limpia una pizca harina. Sobre esta superficie extender la masa para tequeños con ayuda de un rodillo, hasta que quede bien delgada, y cortar tiras de 2 cm de ancho. 
2 También corta el queso en bastones de 1 cm de ancho aproximadamente. 
3 Enrolla los bastones de queso en forma diagonal procurando que no queden huecos en la masa, de lo contrario el queso se saldrá por los huequitos al momento de freír. 
4 Enrolla el resto de los bastones de queso con la masa para tequeños. 
5 Calienta abundante aceite en una sartén o cacerola y fríe los tequeños hasta que la masa esté bien cocida y estos tomen un color ligeramente dorado. 
6 Escurre el exceso de aceite de los tequeños y sirve mientras están calientes. Esperamos que disfrutes esta receta de tequeños de queso venezolanos, y si te ha gustado quédate en RecetasGratis.net para aprender muchas más recetas venezolanas y del resto del mundo.",8afd7301-9f71-49f4-8988-1492c76ba999,comida
Tequeños de chocolate,https://www.recetasgratis.net/receta-de-tequenos-de-chocolate-57810.html,"500 gramos de Harina de trigo
175 gramos de Mantequilla
1 pieza de Huevo
½ cucharadita de Sal
1 cucharada sopera de Azúcar
1 pieza de Chocolate","1 Como primer paso es juntar todos los ingredientes para preparar los tequeños de chocolate. 
2 Cernimos la harina para obtener una masa de tequeños más suave. Luego, le agregamos el azúcar y mezclamos. 
3 Después, agregamos la sal y seguimos mezclando. 
4 La mantequilla la troceamos y empezamos a mezclarla para llevarla a punto de arena. 
5 Cuando esté bien mezclada, agregamos el huevo entero y seguimos revolviendo para continuar formando la masa de los tequeños. 
6 Cuando el huevo esté bien integrado, hacemos una bola compacta con la masa y la cubrimos con papel film, la dejamos reposar 20 minutos en el refrigerador. 
7 Una vez que la masa haya reposado, para continuar con la elaboración de los tequeños de chocolate, vamos a aplanar la masa con la ayuda de un rodillo. Previamente enharinamos la superficie donde vamos a trabajar. 
8 Seguimos extendiendo la masa, nos debe quedar aproximadamente de un grosor de 5 cm. Luego, cortamos tiras de unos 2.
5 cm de ancho por 10-15 cm de largo. El chocolate lo cortamos en tiras de 6 cm de largo por 1 cm de ancho. Después, cubrimos el chocolate enrollando las tiras de la masa sobre él. 
9 Una vez cubiertos, freímos los tequeños de chocolate en aceite bien caliente. 
10 Dejamos escurrir sobre toallas de papel absorbente y servimos. 
11 Una vez que los tequeños de chocolate estén fríos, los servimos a modo de postre o para degustar en el desayuno o merienda. Esta es una receta que, sin duda, encantará a los más pequeños de casa. Puedes acompañarlos con salsa inglesa dulce.",22f4f58a-33b6-4031-b8a3-32a2bfd0b809,comida
